country,season,name,price,score,review_label,review_count,facility_size_m2,num_bedrooms,facility_type
Mauritania,September_LowSeason,Al Khaima City Center,TND 237,6.9,Scored 6.9,196 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Hotel Monotel Dar El Barka,TND 508,6.9,Scored 6.9,72 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Hôtel Semiramis City Center,TND 328,7.5,Good,165 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,The Best Centric Hotel,TND 290,8.5,Very Good,154 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Florida,TND 135,7.5,Good,2 reviews,70,1,Apartment
Mauritania,September_LowSeason,Le Patio,TND 186,9.1,Wonderful,11 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,"Les HOTELS TALHAYA, NOUAKCHOTT",TND 193,7.6,Good,23 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,SUNSET HOTEL,TND 508,7.6,Good,32 reviews,14,1,Suite
Mauritania,September_LowSeason,Chez soufie,TND 109,7.0,Good,3 reviews,80,2,Apartment
Mauritania,September_LowSeason,Le Patio ARABESK,TND 180,7.8,Good,4 reviews,N/A,N/A,N/A
Mauritania,September_LowSeason,Comfortable and quiet furnished studio,TND 119,N/A,N/A,N/A,40,1,Apartment
